index,true_label,pred_label,ai_probability,confidence,prediction_str,reasoning,top_indicators,parse_error,error_msg
63,0,0,0.02,0.98,human,"The text exhibits the hallmarks of a genuine academic paper, including specific bibliographic references, complex formal logic notation, and a nuanced, critical analysis of theoretical frameworks that is characteristic of expert human research.","Presence of specific, idiosyncratic academic metadata (e.g., '1v4883.6031:viXra', 'submitted 4 November 2011') | Complex, domain-specific mathematical notation and formal logic proofs integrated into the text | Natural, non-formulaic transitions and specific references to historical academic debates in the field | Varied sentence structure and nuanced, expert-level discussion of limitations and counter-intuitive findings",False,
64,0,0,0.05,0.95,human,"The text exhibits distinct linguistic markers of human authorship, specifically non-native English syntax and idiosyncratic errors that are inconsistent with the highly polished, grammatically correct output typical of AI models.","Frequent grammatical errors and non-standard syntax characteristic of non-native English speakers | Idiosyncratic phrasing and structural inconsistencies (e.g., 'The problematic is', 'Tired' instead of 'Third') | Presence of specific, manually formatted citations and references typical of academic papers from the early 2010s | Natural, non-formulaic flow that deviates from the polished, predictable output of modern LLMs",False,
65,0,0,0.05,0.95,human,"The text exhibits the dense, highly technical, and slightly idiosyncratic formatting typical of a human-authored academic paper in computer science, including specific references to funding and complex mathematical notation that AI models rarely produce with this level of domain-specific coherence.","Presence of specific, idiosyncratic formatting errors (e.g., missing spaces in text blocks) | Complex, domain-specific mathematical derivations and notation | References to specific, non-generic academic projects and funding sources | Varied, dense, and highly technical sentence structures characteristic of specialized research",False,
66,0,0,0.05,0.95,human,"The text exhibits numerous non-standard linguistic patterns, idiosyncratic phrasing, and structural irregularities that are characteristic of a human researcher working outside of standard editorial norms, rather than the polished, predictable output of an AI model.","High frequency of idiosyncratic, non-standard grammatical structures and spacing errors | Presence of specific, non-formulaic academic idiosyncrasies and unique personal research voice | Inconsistent formatting and manual-style data presentation typical of individual researcher output | Use of highly specific, non-generic terminology and niche domain-specific references",False,
67,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence rhythm, and lack of authentic researcher voice characteristic of AI-generated academic content, further evidenced by redundant and inconsistent citation patterns.","Highly formulaic and repetitive structural progression typical of LLM-generated academic templates | Overly polished, generic academic prose lacking idiosyncratic researcher voice or stylistic variance | Suspiciously consistent readability and tone across all sections, including the abstract and discussion | Presence of hallucinated or misattributed citations (e.g., repeating the same paper for different concepts, such as citing 'An image is worth 16x16 words' for both [1] and [23])",False,
68,0,0,0.05,0.95,human,"The text contains clear markers of a 2011 academic paper, including specific journal metadata, OCR-related formatting errors, and dated technical references that predate the existence of modern large language models.","Presence of specific formatting artifacts and metadata from a 2011 journal publication | Inconsistent paragraph spacing and layout typical of OCR-scanned academic PDFs | Specific, dated references to software versions (MATLAB 7) and older cryptographic standards | Natural stylistic variations and minor grammatical irregularities characteristic of non-native English academic writing from that era",False,
69,1,1,0.95,0.95,ai_generated,"The excerpt exhibits the hallmark structural rigidity, uniform tone, and formulaic transition patterns characteristic of large language models, lacking the stylistic variability and specific, messy insights typical of human-authored research.","Formulaic and highly predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence rhythm | Generic 'limitations' section that follows standard AI-generated templates | Absence of genuine hedging or nuanced personal research insights",False,
70,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence rhythm, and generic academic polish characteristic of high-quality LLM output, lacking the stylistic variance and nuanced personal perspective typical of human-authored research.","Highly formulaic and predictable paragraph structure | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and tone throughout all sections | Standardized, template-like presentation of 'Contributions' and 'Limitations'",False,
71,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, generic academic prose, and characteristic citation errors (jumbled author initials) frequently produced by large language models when tasked with generating technical research papers.","Highly formulaic and repetitive paragraph structure | Generic, overly polished academic tone lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence length | Presence of hallucinated or garbled citations (e.g., [3] and [8] contain jumbled author initials) | Perfectly structured, textbook-style transition phrases between sections",False,
72,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark characteristics of a Large Language Model, including a highly standardized, sterile academic tone, perfectly balanced paragraph structures, and a lack of the stylistic inconsistencies or personal research insights typically found in human-authored papers.","Highly formulaic and predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Uniform sentence rhythm and lack of stylistic variation across sections | Perfectly formatted, textbook-style LaTeX and pseudocode blocks | Absence of nuanced hedging or subjective research narrative",False,
73,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark 'perfect' but sterile prose characteristic of large language models, lacking the subtle stylistic inconsistencies, personal insights, or unique narrative voice typically found in human-authored academic research.","Highly formulaic and predictable paragraph structure | Uniform, overly polished academic tone lacking idiosyncratic researcher voice | Generic transition phrases and repetitive structural patterns | Suspiciously consistent readability and lack of stylistic variation across sections",False,
74,0,0,0.15,0.85,human,"The text exhibits the structural irregularities, specific data-handling descriptions, and idiosyncratic stylistic choices typical of a human researcher in the field of quantitative linguistics, rather than the polished, uniform output of an AI model.","Presence of specific, non-formulaic methodological details and data source citations | Inconsistent formatting and minor typographical errors (e.g., 'tang shi' vs 'Tang shi', spacing in 'chu ci') | Use of first-person singular ('I calculated') which is characteristic of specific academic writing styles rather than the neutral, collective tone typical of LLMs | Domain-specific nuance regarding the evolution of the Chinese language and specific character usage",False,
